                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.85735,                0.64153,                0.89971,                0.51748,                0.46441,                0.48131,                0.30862,                 1.1704,                 1.1479,                 1.0742,             0.00023687,             0.00023687,             0.00023687
                     83,                0.81251,                0.64898,                0.91487,                0.46977,                0.48912,                0.47703,                 0.3028,                 1.1793,                 1.1369,                 1.0745,             0.00023098,             0.00023098,             0.00023098
                     84,                0.84281,                0.62016,                0.90606,                0.51286,                0.47539,                 0.4881,                0.30901,                  1.199,                 1.1646,                  1.086,             0.00022509,             0.00022509,             0.00022509
                     85,                 0.8445,                0.63763,                0.90503,                0.69019,                 0.4752,                0.49079,                0.31268,                 1.1935,                 1.1169,                 1.0791,              0.0002192,              0.0002192,              0.0002192
                     86,                 0.8556,                0.63961,                0.90862,                0.51965,                0.46278,                0.48232,                0.31027,                 1.1802,                 1.1406,                  1.072,             0.00021331,             0.00021331,             0.00021331
                     87,                0.86592,                0.65744,                0.91001,                0.67412,                0.46442,                0.47873,                0.31105,                 1.1709,                 1.2111,                 1.0679,             0.00020742,             0.00020742,             0.00020742
                     88,                0.81872,                0.61488,                0.90385,                0.68225,                0.44731,                0.48778,                 0.3204,                 1.1768,                  1.179,                 1.0814,             0.00020153,             0.00020153,             0.00020153
                     89,                0.84321,                0.62835,                0.90497,                0.46674,                0.48098,                0.48612,                0.31777,                 1.1663,                 1.1394,                 1.0748,             0.00019564,             0.00019564,             0.00019564
                     90,                0.83124,                0.60856,                0.89651,                0.48811,                0.46495,                0.47637,                0.30904,                 1.1644,                 1.1714,                 1.0816,             0.00018975,             0.00018975,             0.00018975
                     91,                0.79736,                0.60207,                0.89806,                0.51171,                0.43182,                0.47042,                0.30885,                 1.1702,                 1.1892,                 1.0773,             0.00018385,             0.00018385,             0.00018385
                     92,                0.79696,                0.61453,                0.90221,                0.47091,                 0.4566,                0.46333,                0.29849,                 1.1754,                 1.1543,                  1.089,             0.00017796,             0.00017796,             0.00017796
                     93,                0.82483,                0.61118,                0.89378,                0.46513,                0.48359,                0.46622,                0.29927,                 1.1832,                 1.1457,                 1.0844,             0.00017207,             0.00017207,             0.00017207
                     94,                0.77982,                0.60267,                0.88116,                0.46643,                0.47423,                0.47254,                0.30106,                 1.1918,                 1.1353,                 1.0877,             0.00016618,             0.00016618,             0.00016618
                     95,                0.78909,                0.58921,                0.89088,                0.66864,                0.50253,                0.48208,                0.30599,                 1.1978,                 1.1621,                 1.0938,             0.00016029,             0.00016029,             0.00016029
                     96,                0.80174,                 0.5848,                0.88815,                0.66587,                0.47807,                0.48334,                 0.3079,                  1.187,                 1.1738,                 1.0906,              0.0001544,              0.0001544,              0.0001544
                     97,                0.80843,                0.60233,                0.89064,                0.64511,                0.46828,                0.48024,                0.30869,                 1.1913,                 1.1747,                  1.092,             0.00014851,             0.00014851,             0.00014851
                     98,                0.79066,                 0.5856,                0.89904,                0.45442,                0.47154,                0.47711,                0.30774,                 1.1734,                 1.1683,                 1.0844,             0.00014262,             0.00014262,             0.00014262
                     99,                0.82744,                0.60397,                 0.8887,                0.48171,                 0.4694,                0.47659,                0.31222,                 1.1737,                 1.1554,                 1.0888,             0.00013673,             0.00013673,             0.00013673
                    100,                0.81019,                0.59472,                0.89047,                0.46391,                0.48064,                0.47553,                0.30899,                 1.1866,                 1.1615,                 1.0868,             0.00013084,             0.00013084,             0.00013084
                    101,                0.78388,                0.57657,                0.89471,                0.73077,                0.39234,                0.46512,                0.30474,                 1.1624,                 1.1786,                 1.0766,             0.00012495,             0.00012495,             0.00012495
                    102,                 0.8128,                0.60424,                0.90421,                0.77315,                0.37576,                0.46395,                0.30078,                 1.1904,                 1.1929,                 1.0826,             0.00011906,             0.00011906,             0.00011906
                    103,                0.77977,                0.57247,                0.88977,                0.67011,                0.42603,                0.46893,                0.30562,                 1.1813,                 1.1723,                 1.0887,             0.00011317,             0.00011317,             0.00011317
                    104,                0.75666,                0.57139,                0.88213,                0.68569,                0.41915,                 0.4654,                0.30015,                 1.1906,                 1.1601,                 1.1003,             0.00010728,             0.00010728,             0.00010728
                    105,                0.75141,                 0.5632,                0.88424,                0.43543,                0.48197,                0.46973,                0.30248,                 1.1893,                 1.1762,                 1.0976,             0.00010139,             0.00010139,             0.00010139
                    106,                0.79522,                0.58205,                0.88779,                0.43909,                0.50119,                0.46853,                0.30096,                  1.182,                 1.1729,                 1.0908,             9.5498e-05,             9.5498e-05,             9.5498e-05
                    107,                0.75597,                0.54997,                0.88336,                0.51981,                0.43875,                0.46994,                0.30335,                 1.1883,                 1.1572,                 1.0907,             8.9607e-05,             8.9607e-05,             8.9607e-05
                    108,                0.76898,                0.57183,                0.88363,                0.50068,                0.45732,                0.46858,                0.30457,                 1.1942,                 1.1611,                 1.0938,             8.3716e-05,             8.3716e-05,             8.3716e-05
                    109,                0.76562,                0.56968,                0.88981,                0.46981,                0.48489,                0.46669,                0.30381,                 1.1796,                 1.1728,                 1.0882,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    110,                0.75413,                0.57377,                0.88203,                0.51555,                0.42294,                0.46484,                0.30332,                 1.1742,                 1.1878,                 1.0819,             7.1936e-05,             7.1936e-05,             7.1936e-05
                    111,                0.77721,                0.57599,                0.86869,                0.46201,                0.47677,                0.46632,                0.30325,                 1.1877,                 1.2051,                 1.0819,             6.6045e-05,             6.6045e-05,             6.6045e-05
                    112,                0.78151,                0.64079,                0.88095,                0.70733,                 0.4164,                0.46135,                0.30001,                 1.1911,                 1.2304,                 1.0822,             6.0154e-05,             6.0154e-05,             6.0154e-05
                    113,                0.73528,                 0.5376,                0.86558,                0.70271,                0.41401,                0.46172,                0.29934,                 1.1911,                  1.195,                 1.0886,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    114,                0.72953,                0.51357,                0.85706,                0.65455,                0.43637,                0.45756,                0.29688,                 1.1863,                   1.19,                 1.0838,             4.8374e-05,             4.8374e-05,             4.8374e-05
                    115,                0.72284,                0.52433,                0.85887,                0.66441,                0.43508,                0.45614,                0.29451,                 1.1904,                 1.2044,                 1.0887,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    116,                0.69729,                0.51218,                0.84444,                 0.6351,                0.44068,                0.45173,                0.29426,                 1.1897,                 1.2027,                  1.088,             3.6592e-05,             3.6592e-05,             3.6592e-05
                    117,                0.70762,                0.50564,                0.85053,                0.47221,                0.44342,                0.45354,                0.29622,                  1.184,                 1.1992,                 1.0844,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    118,                 0.7422,                 0.5468,                 0.8657,                0.66353,                0.42608,                0.45444,                0.29607,                 1.1782,                 1.1968,                 1.0825,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    119,                0.71461,                0.51169,                0.85357,                0.68692,                0.40711,                0.45509,                0.29921,                 1.1777,                 1.2002,                 1.0825,             1.8921e-05,             1.8921e-05,             1.8921e-05
                    120,                0.68732,                0.49782,                0.84906,                0.72021,                 0.3982,                0.45603,                0.29901,                 1.1729,                 1.2063,                 1.0788,              1.303e-05,              1.303e-05,              1.303e-05
